frame,x,y,visible
0,-1.0,-1.0,0
1,-1.0,-1.0,0
2,-1.0,-1.0,0
3,-1.0,-1.0,0
4,-1.0,-1.0,0
5,-1.0,-1.0,0
6,-1.0,-1.0,0
7,-1.0,-1.0,0
8,1044.4,1060.0,1
9,-1.0,-1.0,0
10,-1.0,-1.0,0
11,-1.0,-1.0,0
12,-1.0,-1.0,0
13,-1.0,-1.0,0
14,-1.0,-1.0,0
15,-1.0,-1.0,0
16,-1.0,-1.0,0
17,-1.0,-1.0,0
18,-1.0,-1.0,0
19,-1.0,-1.0,0
20,1040.5,1022.4,1
21,-1.0,-1.0,0
22,-1.0,-1.0,0
23,-1.0,-1.0,0
24,-1.0,-1.0,0
25,-1.0,-1.0,0
26,1097.2,962.8,1
27,1097.2,962.8,1
28,-1.0,-1.0,0
29,-1.0,-1.0,0
30,-1.0,-1.0,0
31,-1.0,-1.0,0
32,-1.0,-1.0,0
33,-1.0,-1.0,0
34,-1.0,-1.0,0
35,-1.0,-1.0,0
36,-1.0,-1.0,0
37,2278.2,1203.8,1
38,2278.2,1203.9,1
39,2278.2,1203.9,1
40,2278.2,1203.9,1
41,2278.2,1203.9,1
42,2278.2,1203.9,1
43,2278.2,1203.9,1
44,2278.2,1203.9,1
45,2278.2,1203.9,1
46,2278.2,1203.9,1
47,2278.2,1203.9,1
48,2278.2,1203.9,1
49,2278.3,1203.9,1
50,2278.2,1204.1,1
51,2278.2,1204.1,1
52,2278.1,1204.1,1
53,2278.2,1204.1,1
54,2278.2,1204.1,1
55,2278.2,1204.1,1
56,2278.1,1204.1,1
57,2278.1,1204.2,1
58,2278.1,1204.2,1
59,-1.0,-1.0,0
60,-1.0,-1.0,0
61,2278.1,1204.2,1
62,2278.1,1204.2,1
63,1176.9,459.6,1
64,1178.6,455.8,1
65,1179.5,455.7,1
66,2278.1,1204.2,1
67,-1.0,-1.0,0
68,1187.8,459.1,1
69,1190.2,463.5,1
70,1190.2,463.5,1
71,-1.0,-1.0,0
72,-1.0,-1.0,0
73,-1.0,-1.0,0
74,2278.1,1204.2,1
75,-1.0,-1.0,0
76,-1.0,-1.0,0
77,-1.0,-1.0,0
78,1203.4,546.7,1
79,-1.0,-1.0,0
80,-1.0,-1.0,0
81,-1.0,-1.0,0
82,-1.0,-1.0,0
83,1744.0,669.5,1
84,-1.0,-1.0,0
85,-1.0,-1.0,0
86,-1.0,-1.0,0
87,-1.0,-1.0,0
88,-1.0,-1.0,0
89,-1.0,-1.0,0
90,-1.0,-1.0,0
91,-1.0,-1.0,0
92,2278.1,1204.1,1
93,2278.1,1204.1,1
94,2278.0,1204.2,1
95,2278.0,1204.0,1
96,2278.0,1204.0,1
97,2278.0,1204.1,1
98,2278.0,1204.1,1
99,2278.0,1204.1,1
100,2278.0,1204.1,1
101,-1.0,-1.0,0
102,-1.0,-1.0,0
103,2277.9,1204.1,1
104,2277.9,1204.1,1
105,-1.0,-1.0,0
106,2277.9,1204.1,1
107,2277.9,1204.1,1
108,2277.9,1204.1,1
109,2277.9,1204.1,1
110,2277.9,1204.1,1
111,2277.9,1204.1,1
112,2277.9,1204.1,1
113,2277.9,1204.1,1
114,2277.9,1204.1,1
115,2277.9,1204.1,1
116,2277.9,1204.1,1
117,2277.9,1204.1,1
118,2277.9,1204.1,1
119,2277.9,1204.1,1
120,2277.9,1204.1,1
121,1235.4,570.7,1
122,1237.4,558.2,1
123,1237.3,552.8,1
124,1237.3,552.8,1
125,1237.6,549.5,1
126,2277.8,1204.1,1
127,2277.8,1204.0,1
128,2277.8,1204.1,1
129,2277.8,1204.0,1
130,2277.8,1204.1,1
131,-1.0,-1.0,0
132,-1.0,-1.0,0
133,2277.8,1204.0,1
134,1256.1,578.3,1
135,1260.2,585.3,1
136,1261.4,581.0,1
137,1261.4,581.0,1
138,1261.8,580.8,1
139,1264.5,579.4,1
140,1264.9,581.7,1
141,1266.5,584.6,1
142,1267.6,591.7,1
143,1268.2,592.9,1
144,1268.8,592.1,1
145,1269.3,593.1,1
146,2277.8,1204.0,1
147,1270.6,602.7,1
148,1272.5,603.5,1
149,1273.9,604.2,1
150,1274.1,604.4,1
151,1274.6,604.8,1
152,1276.1,607.7,1
153,2277.8,1204.0,1
154,2277.8,1204.0,1
155,2277.8,1204.0,1
156,2277.8,1204.0,1
157,1283.2,612.2,1
158,1283.2,612.2,1
159,1284.7,613.2,1
160,2277.8,1204.0,1
161,2277.8,1204.0,1
162,2277.8,1204.0,1
163,2277.8,1204.0,1
164,2277.8,1204.0,1
165,2277.8,1204.0,1
166,2277.8,1204.0,1
167,2277.8,1204.0,1
168,2277.8,1204.0,1
169,2278.0,1204.1,1
170,2278.0,1204.1,1
171,2278.0,1204.1,1
172,2278.0,1204.1,1
173,2278.0,1204.1,1
174,2278.0,1204.1,1
175,2278.0,1204.1,1
176,2278.0,1204.1,1
177,2278.0,1204.1,1
178,2278.0,1204.1,1
179,2278.0,1204.1,1
180,2278.0,1204.1,1
181,2278.0,1204.1,1
182,2278.0,1204.1,1
183,2278.0,1204.1,1
184,2278.0,1204.1,1
185,2278.0,1204.1,1
186,2278.0,1204.1,1
187,2277.9,1204.1,1
188,2277.9,1204.1,1
189,2277.9,1204.1,1
190,2277.9,1204.1,1
191,2277.9,1204.1,1
192,2277.8,1204.1,1
193,2277.8,1204.0,1
194,2277.8,1204.1,1
195,2277.8,1204.0,1
196,2277.8,1204.1,1
197,2277.8,1204.0,1
198,2277.8,1204.0,1
199,2277.8,1204.0,1
200,2277.8,1204.0,1
201,2277.8,1204.0,1
202,2277.8,1204.0,1
203,2277.8,1204.0,1
204,2277.8,1204.0,1
205,2277.8,1204.0,1
206,2277.8,1204.0,1
207,2277.8,1204.0,1
208,2277.8,1204.0,1
209,2277.8,1204.0,1
210,2277.8,1204.0,1
211,2277.8,1204.0,1
212,2277.8,1204.0,1
213,2277.8,1204.0,1
214,2277.8,1204.0,1
215,2277.8,1204.0,1
216,2277.8,1204.0,1
217,2277.8,1204.0,1
218,2277.8,1204.0,1
219,2277.8,1204.0,1
220,2277.8,1204.0,1
221,2277.8,1204.0,1
222,2277.8,1204.0,1
223,2277.8,1204.0,1
224,2277.8,1204.0,1
225,2277.8,1204.0,1
226,2277.8,1204.0,1
